129,2015-01-21,41.69
106,2015-04-19,743.30
120,2016-03-03,537.03
8,2015-11-30,825.38
264,2015-12-18,769.41
209,2016-06-17,1467.79
110,2016-02-22,1789.90
175,2015-07-02,1.86
99,2016-09-20,130.59
253,2016-04-18,1447.17
30,2015-10-23,1959.70
299,2016-01-27,4452.87
95,2016-07-08,93.92
62,2015-04-20,7886.93
26,2015-11-07,12.22
117,2015-06-15,1179.82
238,2015-02-06,1970.54
286,2016-01-11,2037.88
205,2016-08-17,107.37
197,2015-03-27,1635.65
187,2015-07-19,20.71
11,2015-10-12,408.34
249,2015-01-15,308.66
194,2015-11-18,2762.44
132,2015-04-14,2044.05
131,2015-05-27,1479.49
255,2016-06-17,4329.52
142,2016-03-21,2167.41
66,2016-06-06,234.60
33,2016-04-03,1440.27
109,2016-03-19,5948.42
51,2016-02-27,926.84
288,2016-03-01,691.34
76,2015-05-10,1382.11
296,2015-04-16,436.36
282,2016-02-25,1389.25
10,2015-12-08,1168.88
18,2015-03-26,8077.31
139,2016-04-25,4564.42
143,2016-06-21,133.28
98,2016-05-08,148.86
271,2015-01-18,157.91
84,2016-02-01,3450.26
198,2016-04-22,336.96
74,2016-04-15,4.83
29,2016-05-05,31.66
267,2016-05-20,12686.84
41,2015-01-15,346.72
186,2016-02-08,2788.38
227,2016-04-19,3520.22
242,2016-06-10,1405.42
297,2015-02-18,330.05
54,2015-08-27,685.85
15,2015-03-30,150.06
77,2016-03-29,2706.11
4,2016-07-01,17.27
153,2015-07-10,466.40
73,2016-04-21,4573.60
40,2015-08-25,1967.28
277,2015-09-21,840.23
275,2015-04-09,1147.54
44,2015-04-24,2075.25
22,2015-01-29,1638.53
293,2015-01-27,3535.50
165,2015-07-10,5052.84
21,2015-09-26,635.89
43,2015-03-16,557.80
220,2015-01-24,2316.41
176,2016-01-08,1750.16
96,2015-03-07,7336.52
87,2015-09-22,2696.48
107,2015-11-30,1105.63
121,2016-05-21,895.28
161,2016-02-14,2714.55
19,2016-06-18,494.41
154,2016-06-01,1473.91
65,2016-06-18,1697.97
52,2015-07-12,12139.07
37,2015-12-09,1829.96
85,2015-01-20,1447.22
32,2015-01-03,3461.75
164,2016-07-23,895.60
278,2016-08-20,3083.60
289,2015-04-26,7977.49
172,2016-05-31,941.02
63,2015-08-20,1050.71
183,2016-07-18,2256.02
260,2016-02-24,1088.40
55,2016-01-29,1874.04
88,2016-09-23,1397.27
244,2015-12-15,629.91
118,2015-09-29,6265.89
128,2015-06-11,1333.89
300,2015-10-30,1886.60
231,2015-04-21,1427.39
256,2016-02-04,1587.74
216,2015-08-12,1313.59
266,2015-05-06,8089.69
7,2016-01-06,4886.70
