195,1384.80
129,765.41
106,26.55
171,2009.80
8,1608.69
138,268.27
80,273.71
190,960.68
16,3.46
54,1.82
103,478.36
47,7.59
148,40.62
175,259.49
46,624.71
48,443.95
28,814.35
36,897.58
174,588.75
77,244.07
151,568.61
140,90.33
162,1184.16
30,219.54
153,556.18
95,491.20
73,510.88
40,886.31
122,302.89
53,609.01
62,784.35
123,909.45
180,838.04
92,12.30
23,783.89
127,177.33
101,92.59
44,46.55
82,877.81
25,978.31
58,1925.80
1,453.54
26,2643.40
137,611.24
117,916.90
185,547.83
111,500.29
168,667.46
136,532.45
86,59.49
196,83.86
13,331.38
22,10.13
91,0.02
70,57.80
45,1242.58
60,5.71
105,2346.76
21,728.91
97,910.07
152,611.04
75,256.47
124,285.23
197,871.07
5,19.99
114,555.89
181,1295.29
191,6.27
156,757.68
11,80.92
135,699.65
126,41.78
39,139.14
132,312.59
131,2728.23
3,624.64
61,369.33
176,30.23
96,824.95
87,1373.86
178,663.13
169,22.92
14,944.30
107,224.79
17,688.04
66,31.84
142,58.11
147,7.12
160,2.54
33,88.95
161,1119.74
108,1006.08
157,1443.86
19,398.77
109,900.97
57,638.53
51,216.12
65,701.00
35,541.23
52,248.15
76,314.04
69,73.43
37,883.53
173,502.46
85,1270.06
34,65.27
81,842.75
32,912.18
188,1915.70
10,167.56
79,889.06
164,620.47
90,71.42
134,890.02
18,1653.41
139,1512.79
59,1459.63
143,314.79
98,317.75
133,114.82
150,315.22
100,230.40
167,173.96
113,361.06
116,735.37
63,562.47
9,580.41
183,139.23
24,1922.53
64,92.51
170,860.66
55,793.00
68,653.29
145,90.62
118,2222.68
88,1196.61
198,129.63
104,550.82
163,798.31
102,1023.95
6,750.15
71,897.99
29,53.20
2,915.36
186,476.57
177,632.19
141,183.20
7,480.03
